ID,Name,Supertype,Type,Domains,Rarity,Energy Cost,Power Cost,Might,Rules Text,Effect Text,Champion Tag,Other Tags,Flavor Text,Has Errata
SFD-073,Experimental Hexplate,,Gear,Mind,Uncommon,1,,,[Equip] [B],I am a Mech. [M]+1,,Equipment,,FALSE
SFD-074,Pickpocket,,Unit,Mind,Uncommon,3,,3,"When you play me, you may kill a gear with Energy cost no more than [1]. If you do, play a Gold gear token exhausted.",,,Zaun,"""Sticky fingers never linger.""
—Pickpockets' motto",FALSE
SFD-075,Prize of Progress,,Unit,Mind,Uncommon,4,1,3,"When you use an activated ability of a gear, give me +1[M] this turn.",,,"Piltover, Mech","In Piltover's Progress Day parade, even the floats are groundbreaking innovations.",FALSE
SFD-076,Production Surge,,Spell,Mind,Uncommon,4,1,,"This costs [2] less if you control a Mech.
Play a 3[M] Mech unit token to your base.
Draw 1.",,,,"When in doubt, make more mechs.",FALSE
SFD-077,Rocket Barrage,,Spell,Mind,Uncommon,4,1,,"[Repeat] [4][B]
Choose one —
• Deal 4 to a unit in a base.
• Kill a gear.",,,,,FALSE
SFD-078,Temporal Portal,,Gear,Mind,Uncommon,3,,,"[A], [E]: Give the next spell you play this turn [Repeat] equal to its cost.",,,,Those who study history get to choose whether they'll repeat it.,FALSE
SFD-079,"Bard, Mercurial",Champion,Unit,Mind,Rare,4,1,4,"You may exhaust your legend as an addtional cost to play me.
When you play me, if you paid the additional cost, move any number of your units to an open battlefield.",,Bard,,(Mysterious chiming noises intensify.),FALSE
SFD-080,Bellows Breath,,Spell,Mind,Rare,1,1,,"[Action]
[Repeat] [1][B]
Deal 1 to up to three units at the same location.",,,,"""My work speaks in the roar of flame and the ringing of steel.""
—Ornn",FALSE
SFD-081,Card Sharp,,Unit,Mind,Rare,3,,3,"When you play me, you and each opponent may play a Gold gear token exhausted. For each opponent who did, you play a Gold gear token exhausted.",,,Bilgewater,"""Call.""",FALSE
SFD-082,"Ezreal, Dashing",Champion,Unit,Mind,Rare,4,1,3,"When I attack or defend, deal damage equal to my Might to an enemy unit here.
I don't deal combat damage.
[B]: [Action] — Move me to your base.",,Ezreal,Piltover,"""Time for a true display of skill.""",FALSE
SFD-083,Hextech Anomaly,,Gear,Mind,Rare,3,1,,[E]: [Reaction] — Pay any amount of [A] to [Add] that much Energy.,,,,"""Hextech promises to transform the present. But progress must not come at the future's expense!""
—Heimerdinger",FALSE
SFD-084,"Jayce, Man of Progress",Champion,Unit,Mind,Rare,4,,4,"When you play me, you may kill a friendly gear. If you do, you may play a gear with Energy cost no more than [7] from hand this turn, ignoring its Energy cost.",,Jayce,Piltover,"""This is what the future looks like.""",FALSE
SFD-085,"Ornn, Forge God",Champion,Unit,Mind,Rare,6,,4,"[Deflect 2]
[Weaponmaster]
I have +1[M] for each friendly gear.",,Ornn,Freljord,,FALSE
SFD-086,World Atlas,,Gear,Mind,Rare,3,,,[Equip] [B],"When I hold, play two Gold gear tokens exhausted. [M]+2",,Equipment,,FALSE
SFD-087,Premonition,,Spell,Mind,Epic,2,3,,"[Reaction]
Draw 3.",,,,"Wisdom through power, power through wisdom.",FALSE
SFD-088,"Renata Glasc, Mastermind",Champion,Unit,Mind,Epic,5,,4,"[1][B]: Draw 1.
[4][B][B][B][B], [E]: Score 1 point.
Use my abilities only while I'm at a battlefield.",,Renata Glasc,Zaun,"""Progress comes at a price others aren't willing to pay.""",FALSE
SFD-089,"Rumble, Scrapper",Champion,Unit,Mind,Epic,5,1,4,"Your Mechs have +1[M].
When I hold, play a 3[M] Mech unit token to your base.",,Rumble,"Bandle City, Yordle, Mech","""Ever looked up to a yordle?""",FALSE
SFD-090,The Zero Drive,,Gear,Mind,Epic,3,,,"[Equip] [1][B]
[3][B], Banish this: Play all units banished with this, ignoring their costs.",[Deathknell] — Banish me. [M]+2,,Equipment,,FALSE
SFD-091,Buhru Captain,,Unit,Body,Common,3,1,3,"When you play me, you may draw 1 or buff me.",,,Bilgewater,"""The Buhru knew these waters long before the flotsam of Bilgewater washed up on our shores. We know them still.""",FALSE
SFD-092,Combat Chef,,Unit,Body,Common,5,,5,[Weaponmaster],,,Demacia,"""The tastiest soup is the one you eat after almost getting your head chopped off.""",FALSE
SFD-093,Dauntless Vanguard,,Unit,Body,Common,4,1,4,You may play me to an occupied enemy battlefield.,,,"Demacia, Elite","When the Demacian Elite receive an order, their commander considers the mission complete.",FALSE
SFD-094,Direwing,,Unit,Body,Common,7,,7,I enter ready if you control another Dragon.,,,"Demacia, Dragon","A dragon's definition of ""prey"" is all-inclusive.",FALSE
SFD-095,Doran's Blade,,Gear,Body,Common,2,,,[Equip] [O],[M]+2,,,"""I guess I could... throw it at someone.""
—Miss Fortune",FALSE
SFD-096,Laurent Bladekeeper,,Unit,Body,Common,3,,3,[Ganking],,,Demacia,"""This old dog has plenty of tricks already.""",FALSE
SFD-097,Punch First,,Spell,Body,Common,1,2,,"[Action]
Give a unit +5[M] this turn.",,,,It's not for the inquisitive.,FALSE
SFD-098,Sea Monkey,,Unit,Body,Common,2,,2,"You may pay [1] as an additional cost to play me.
When you play me, if you paid the additional cost, buff me.",,,"Bilgewater, Pirate","""Do, monkey.""
—Nilah",FALSE
SFD-099,Veteran Poro,,Unit,Body,Common,2,2,,[Weaponmaster],,,"Freljord, Poro","""Train hard, little poro, and one day you will be strong.""
—Braum",FALSE
SFD-100,Yordle Explorer,,Unit,Body,Common,4,,4,"When you play a card with Power cost [A][A] or more, draw 1.",,,"Bandle City, Yordle","""We can't stop yet! We're just getting started!""",FALSE
SFD-101,Fae Dragon,,Unit,Body,Common,7,1,7,"When you play me, buff up to four friendly units.
When you spend a buff, play a Gold gear token exhausted.",,,"Bandle City, Fae, Dragon",The fae who guard the boundary of the spirit realm take their job as seriously as they take anything.,FALSE
SFD-102,Hexdrinker,,Unit,Body,Uncommon,2,,,[Equip] [O],[Deflect] [M]+1,,Equipment,,FALSE
SFD-103,Jaull-Fish,,Unit,Body,Uncommon,7,2,6,"[Accelerate]
I cost [2] less for each of your [Mighty] units.",,,,,FALSE
SFD-104,Petricite Monument,,Unit,Body,Uncommon,2,,,"[Temporary]
Friendly units have [Deflect].",,,,Monuments of magic-absorbing petricite serve both to protect the Kingdom of Demacia and to celebrate it.,FALSE
SFD-105,Ruin Runner,,Unit,Body,Uncommon,6,,5,I can't be chosen by enemy spells and abilities.,,,Shurima,"""Catch me if you can.""",FALSE
SFD-106,Show of Strength,,Spell,Body,Uncommon,2,1,,"[Reaction]
Draw 1 for each of your [Mighty] units.",,,,Strength in numbers.,FALSE
SFD-107,Strike Down,,Spell,Body,Uncommon,3,1,,Choose an equipped friendly unit. It deals damage equal to its Might to an enemy unit. Then detach an Equipment from it.,,,,"""Is that all it takes?""",FALSE
SFD-108,Warmog's Armor,,Gear,Body,Uncommon,1,,,[Equip] [O],"When I conquer, buff me. [M]+1",,Equipment,,FALSE
SFD-109,"Akshan, Mischievous",Champion,Unit,Body,Rare,4,,4,"[Weaponmaster]
You may pay [O][O] as an addtional cost to play me.
When you play me, if you paid the additional cost, move an enemy gear to your base. You control it until I leave the board. If it's an Equipment, attach it to me.",,Akshan,"Shurima, Sentinel",,FALSE
SFD-110,"Fiora, Peerless",Champion,Unit,Body,Rare,3,1,3,"When I attack or defend one on one, double my Might this combat.",,Fiora,Demacia,"""I have no equal.""",FALSE
SFD-111,Here to Help,,Spell,Body,Rare,2,1,,"[Hidden]
[Action]
You may play a unit from hand to a battlefield you control, reducing its cost by [3].",,,Noxus,"""Let's give 'em a good show!""",FALSE
SFD-112,Kato the Arm,,Unit,Body,Rare,4,1,3,"[Deflect]
When I move to a battlefield, give another friendly unit my keywords and +[M] equal to my Might this turn.",,,,,TRUE
SFD-113,"Lucian, Merciless",Champion,Unit,Body,Rare,3,,,"[Weaponmaster]
The first time I conquer each turn, ready me.",,Lucian,"Demacia, Sentinel","""One of us finds peace. One of us walks away.""",FALSE
SFD-114,Marching Orders,,Spell,Body,Rare,3,,,"[Action]
[Repeat] [3]
Choose a friendly unit anywhere and an enemy unit at a battlefield. They deal damage equal to their Mights to each other.",,,,,FALSE
SFD-115,Trinity Force,,Gear,Body,Rare,4,,,[Equip] [O],"When I hold, score 1 point. [M]+2",,Equipment,,FALSE
SFD-116,"Yone, Blademaster",Champion,Unit,Body,Rare,5,1,5,"[Weaponmaster]
When I conquer a battlefield that was uncontrolled, deal damage equal to my Might to an enemy unit in a base.",,Yone,"Ionia, Demon",,TRUE
SFD-117,Ancient Henge,,Gear,Body,Epic,2,1,,[E]: [Reaction] — Pay any amount of energy to [Add] that much [A].,,,,"""It's not enough to protect a pile of ice and stone. We must protect each other, and build a community on the foundations our ancestors left."" —Ashe",FALSE
SFD-118,Boneshiver,,Gear,Body,Epic,3,,,[Equip] [1][O],"When I conquer, channel 1 rune exhausted. [M]+2",,Equipment,,FALSE
SFD-119,"Jax, Unrelenting",Champion,Unit,Body,Epic,4,1,3,"[Weaponmaster]
When you attach an Equipment to me, you may pay [1] to draw 1.",,Jax,Icathia,,FALSE
SFD-120,"Sivir, Ambitious",Champion,Unit,Body,Epic,6,3,7,"[Deflect 2]
When I conquer after an attack, if you assigned 5 or more excess damage to enemy units, you may deal that much to an enemy unit.",,Sivir,Shurima,"""Honor is the rust on a dull blade.""",FALSE
SFD-121,Black Market Broker,,Unit,Chaos,Common,3,,3,"When you play a card from facedown, play a Gold gear token exhausted.",,,Zaun,"""Top of the line. Never used. And no pesky licenses to worry about.""",FALSE
SFD-122,Called Shot,,Spell,Chaos,Common,0,1,,"[Action]
[Repeat] [P]
Look at the top 2 cards of your Main Deck. Draw one and recycle the other.",,,,,FALSE
SFD-123,Corrupt Enforcer,,Unit,Chaos,Common,3,1,4,"When I move to a battlefield, discard 1.
When I win a combat, draw 1.",,,Piltover,"In his eyes, the law binds but does not protect.",FALSE
SFD-124,Doran's Ring,,Gear,Chaos,Common,1,,,[Equip] [P],"When I conquer, discard 1, then draw 1. [M]+1",,Equipment,,FALSE
SFD-125,Fae Porter,,Unit,Chaos,Common,4,,4,"When I move to a battlefield, you may pay [P] to move a unit you control to the same battlefield.",,,"Ionia, Fae",A surprisingly soft landing.,FALSE
SFD-126,Loyal Pup,,Unit,Chaos,Common,3,,3,"When you defend at a battlefield, you may move me there.",,,"Bandle City, Dog","""Arf!""",FALSE
SFD-127,Master Bingwen,,Unit,Chaos,Common,6,,6,[Weaponmaster],,,Ionia,"""Perceive your own weakness, before your opponent does.""",FALSE
SFD-128,Overzealous Fan,,Unit,Chaos,Common,2,,2,"When I defend, you may kill me to move an attacking unit to its base.",,,Noxus,"""Like Draven says... Hit 'em where it hurts!""",FALSE
SFD-129,Temptation,,Spell,Chaos,Common,2,,,"[Repeat] [2]
Move an enemy unit to a location where there's a unit with the same controller.",,,,Seems legit.,FALSE
SFD-130,Treasure Hunter,,Unit,Chaos,Common,2,,1,"When I move, play a Gold gear token exhausted.",,,Shurima,"""I'm sure they won't miss it.""",FALSE
SFD-131,Ancient Warmonger,,Unit,Chaos,Uncommon,5,,4,"[Accelerate]
I have [Assault] equal to the number of enemy units here.",,,"Noxus, Spirit",,FALSE
SFD-132,Beast Below,,Unit,Chaos,Uncommon,7,2,8,"When you play me, return another friendly unit and an enemy unit to their owners' hands.",,,Bilgewater,Terror knows no allegiance.,FALSE
SFD-133,Boots of Swiftness,,Gear,Chaos,Uncommon,3,,,[Equip] [P],[Ganking] [M]+2,,Equipment,,FALSE
SFD-134,Cull,,Gear,Chaos,Uncommon,1,,,[Equip] [P],"When I conquer, play a Gold gear token exhausted. [M]+1",,Equipment,,FALSE
SFD-135,Factory Recall,,Spell,Chaos,Uncommon,1,,,"[Action]
Return a gear to its owner's hand.",,,,"""NO REFUNDS!""",FALSE
SFD-136,Hard Bargain,,Spell,Chaos,Uncommon,2,,,"[Reaction]
[Repeat] [2]
Counter a spell unless its controller pays [2].",,,,,FALSE
SFD-137,Harpoon Squad,,Unit,Chaos,Uncommon,4,,4,"When I move from a battlefield, give me +2[M] this turn.",,,"Bilgewater, Pirate",No room for fear on the boat.,FALSE
SFD-138,Windsinger,,Unit,Chaos,Uncommon,2,,1,"[Hidden]
When you play me, you may return another unit at a battlefield with 3[M] or less to its owner's hand.",,,Ionia,She never sticks around for encores.,FALSE
SFD-139,Edge of Night,,Gear,Chaos,Rare,3,,,"[Hidden]
When you play this from facedown, attach it to a unit you control.
[Equip] [P]",[M]+2,,Equipment,Every shadow an ally.,TRUE
SFD-140,"Fizz, Trickster",Champion,Unit,Chaos,Rare,3,1,3,"When you play me, you may play a spell from your trash with Energy cost no more than [3], ignoring its Energy cost. Then recycle it.",,Fizz,"Bilgewater, Yordle","""One jump ahead of you.""",TRUE
SFD-141,"Irelia, Graceful",Champion,Unit,Chaos,Rare,4,1,4,Your spells that choose me cost [1] or [A] less.,,Irelia,Ionia,"""None can do what I do, so I will do it.""",FALSE
SFD-142,Jae Medarda,,Unit,Chaos,Rare,5,2,5,"When you choose me with a spell, draw 1.",,,Noxus,"A scion of the m ilitant Medarda family, Jae seeks enchanted treasure rather than power or glory.",FALSE
SFD-143,"Sivir, Mercenary",Champion,Unit,Chaos,Rare,4,1,4,"[Accelerate]
If you've spent at least [A][A] this turn, I have +2[M] and [Ganking].",,Sivir,Shurima,,FALSE
SFD-144,Spirit Wheel,,Gear,Chaos,Rare,2,,,"When you choose a friendly unit, you may pay [1] and exhaust this to draw 1.",,,,Never broken.,FALSE
SFD-145,Switcheroo,,Spell,Chaos,Rare,2,2,,"[Hidden]
[Action]
Swap the Mights of two units at the same battlefield this turn.",,,,Always look out for the little guy.,FALSE
